idx,iso3,spbleu,comet
199,ara_tel,19.75,76.51
200,ara_tgl,20.48,77.16
201,ara_tha,27.11,80.23
202,ara_tur,18.3,79.21
203,ara_ukr,20.54,83.16
204,ara_urd,15.38,73.48
205,ara_uzb,18.52,81.67
206,ara_vie,23.62,81.11
207,ara_yue,18.48,81.42
208,asm_afr,6.99,62.24
209,asm_amh,4.98,63.52
210,asm_ara,6.94,61.55
211,asm_azj,4.31,59.42
212,asm_bel,5.64,66.35
213,asm_ben,7.91,61.65
214,asm_bos,5.59,64.75
215,asm_bul,8.31,64.12
216,asm_cat,8.09,61.18
217,asm_ces,6.09,64.58
218,asm_cmn,7.91,61.98
219,asm_cym,6.83,61.25
220,asm_dan,6.57,63.25
221,asm_deu,6.4,58.63
222,asm_ell,7.81,64.5
223,asm_eng,7.61,63.07
224,asm_est,5.33,65.15
225,asm_fas,7.27,59.31
226,asm_fin,5.63,65.74
227,asm_fra,8.65,57.69
228,asm_glg,5.92,60.96
229,asm_guj,8.2,63.87
230,asm_heb,7.32,61.59
231,asm_hin,7.72,50.78
232,asm_hrv,5.37,64.52
233,asm_hun,6.35,61.09
234,asm_hye,8.06,65.01
235,asm_ind,5.98,63.86
236,asm_isl,4.68,62.42
237,asm_ita,6.1,61.04
238,asm_jav,4.07,67.38
239,asm_jpn,7.0,65.35
240,asm_kan,7.88,59.86
241,asm_kat,7.55,60.43
242,asm_kaz,5.99,64.06
243,asm_khm,5.05,59.64
244,asm_kir,5.29,63.12
245,asm_kor,5.7,62.8
246,asm_lao,6.69,61.38
247,asm_lav,6.1,65.42
248,asm_lit,5.94,65.93
249,asm_mal,8.4,61.36
250,asm_mkd,6.6,63.36
251,asm_msa,5.8,62.57
252,asm_mya,5.26,66.18
253,asm_nld,6.77,61.57
254,asm_nob,5.77,63.67
255,asm_npi,6.61,52.9
256,asm_pan,7.97,59.08
257,asm_pol,5.72,64.32
258,asm_por,7.91,61.48
259,asm_ron,6.84,62.16
260,asm_rus,6.62,64.09
261,asm_slk,5.76,63.62
262,asm_slv,5.8,63.59
263,asm_spa,6.58,60.05
264,asm_srp,5.72,62.58
265,asm_swe,6.66,62.6
266,asm_swh,5.48,62.54
267,asm_tam,7.86,65.04
268,asm_tel,8.3,61.08
269,asm_tgl,6.64,63.52
270,asm_tha,10.98,62.47
271,asm_tur,6.06,59.24
272,asm_ukr,6.28,64.1
273,asm_urd,6.87,57.74
274,asm_uzb,6.33,66.06
275,asm_vie,7.33,62.69
276,asm_yue,6.63,63.58
277,azj_afr,15.6,77.21
278,azj_amh,9.41,73.2
279,azj_ara,16.97,77.01
280,azj_asm,7.88,69.51
281,azj_bel,13.46,80.43
282,azj_ben,14.82,74.57
283,azj_bos,13.78,81.74
284,azj_bul,19.19,81.59
285,azj_cat,17.98,78.3
286,azj_ces,15.03,82.92
287,azj_cmn,17.66,79.45
288,azj_cym,14.16,73.85
289,azj_dan,16.38,80.64
290,azj_deu,15.64,76.89
291,azj_ell,16.68,79.94
292,azj_eng,18.92,80.22
293,azj_est,12.98,82.02
294,azj_fas,16.38,77.27
295,azj_fin,13.88,82.32
296,azj_fra,20.38,76.61
297,azj_glg,15.04,78.11
298,azj_guj,14.74,76.1
299,azj_heb,16.97,77.56
300,azj_hin,15.14,65.91
301,azj_hrv,14.35,81.87
302,azj_hun,13.65,78.0
303,azj_hye,15.92,79.59
304,azj_ind,16.34,81.53
305,azj_isl,11.77,74.89
306,azj_ita,15.59,79.32
307,azj_jav,9.39,79.65
308,azj_jpn,14.89,82.4
309,azj_kan,14.45,74.74
310,azj_kat,16.29,76.33
311,azj_kaz,13.72,80.13
312,azj_khm,9.44,70.62
313,azj_kir,11.88,78.19
314,azj_kor,12.61,80.08
315,azj_lao,14.45,73.87
316,azj_lav,14.22,81.68
317,azj_lit,13.56,82.33
318,azj_mal,14.93,75.65
319,azj_mkd,15.62,79.39
320,azj_msa,14.26,79.31
321,azj_mya,9.34,75.94
322,azj_nld,15.1,78.65
323,azj_nob,13.72,80.63
324,azj_npi,12.16,67.67
325,azj_pan,14.59,70.48
326,azj_pol,14.1,82.5
327,azj_por,18.44,79.17
328,azj_ron,17.68,80.71
329,azj_rus,17.01,81.09
330,azj_slk,13.92,81.57
331,azj_slv,13.0,81.09
332,azj_spa,15.16,77.31
333,azj_srp,14.81,79.36
334,azj_swe,17.12,80.81
335,azj_swh,12.59,74.62
336,azj_tam,15.96,80.14
337,azj_tel,16.81,75.12
338,azj_tgl,14.85,76.83
339,azj_tha,22.45,78.13
340,azj_tur,15.17,79.23
341,azj_ukr,15.37,81.16
342,azj_urd,12.73,71.09
343,azj_uzb,14.81,82.32
344,azj_vie,18.24,80.78
345,azj_yue,14.59,80.26
346,bel_afr,14.67,73.59
347,bel_amh,8.53,71.82
348,bel_ara,16.43,75.71
349,bel_asm,7.28,67.52
350,bel_azj,10.32,74.28
351,bel_ben,13.75,71.34
352,bel_bos,14.06,80.75
353,bel_bul,18.35,81.38
354,bel_cat,17.5,74.96
355,bel_ces,14.23,80.86
356,bel_cmn,16.31,77.87
357,bel_cym,13.38,69.91
